"","TCGA-GD-A3OP-11A-11R-A220-07","TCGA-BT-A20U-01A-11R-A14Y-07","TCGA-GD-A3OQ-11A-21R-A220-07","TCGA-BL-A13J-01A-11R-A277-07","TCGA-K4-A5RI-11A-11R-A28M-07","TCGA-GC-A6I3-01A-11R-A31N-07","TCGA-BL-A13J-01B-04R-A277-07","TCGA-K4-A54R-01A-11R-A26T-07","TCGA-BT-A20Q-01A-11R-A14Y-07","TCGA-BT-A20N-01A-11R-A14Y-07","TCGA-K4-A3WV-11A-21R-A22U-07","TCGA-BT-A2LA-01A-11R-A18C-07","TCGA-BT-A20R-11A-11R-A16R-07","TCGA-GC-A3BM-01A-11R-A22U-07","TCGA-BT-A2LA-11A-11R-A18C-07","TCGA-BT-A20W-11A-11R-A14Y-07","TCGA-BL-A13J-01A-11R-A10U-07","TCGA-BT-A20W-01A-21R-A14Y-07","TCGA-GD-A3OQ-01A-32R-A220-07","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20R-01A-12R-A16R-07","TCGA-CU-A0YR-01A-12R-A10U-07","TCGA-BT-A2LB-11A-11R-A18C-07","TCGA-GC-A6I3-11A-11R-A31N-07","TCGA-BT-A20U-11A-11R-A14Y-07","TCGA-K4-A5RI-01A-11R-A28M-07","TCGA-GC-A3WC-01A-31R-A22U-07","TCGA-GD-A2C5-11A-11R-A180-07","TCGA-CU-A0YN-01A-21R-A10U-07","TCGA-GC-A3BM-11A-11R-A22U-07","TCGA-CU-A0YN-11A-11R-A10U-07","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-K4-A54R-11A-11R-A26T-07","TCGA-BT-A2LB-01A-11R-A18C-07","TCGA-GC-A3WC-11A-11R-A22U-07","TCGA-GD-A2C5-01A-12R-A180-07","TCGA-BT-A20N-11A-11R-A14Y-07","TCGA-K4-A3WV-01A-11R-A22U-07","TCGA-CU-A0YR-11A-13R-A10U-07","TCGA-BL-A13J-11A-13R-A10U-07"
"L1HS_intergenic_3__163850436_163850656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_3__164291526_164296426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_3__164409707_164413265",0,0,0,0,0,0,0,0,0,0,0,0.00351017,0,0,0,0,0,0,0,0,0,0,0,0.00437896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_3__165585584_165586780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_3__167204241_167204775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_3__168353097_168355115",0,0,0,0,0,0,0,0,0,0.0909845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373171,0,0,0,0,0,0,0,0
"L1HS_intron_3__169360229_169360269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_3__183234697_183238141",0,0,0,0.00199663,0,0,0.00287967,0,0,0,0,0.0641057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167146,0
"L1HS_intron_3__188544444_188545266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_3__188636045_188636956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191644,0,0,0,0,0.0450104,0,0,0.0103379,0,0,0,0,0,0,0,0,0,0,0,0,0.0118554,0,0.0439121,0,0
"L1HS_intergenic_3__190964648_190965526",0,0,0,0,0,0,0,0,0.0299619,0,0,0.258269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267155,0.0328108,0,0,0,0,0,0.0267534,0,0,0,0
"L1HS_intron_4__7994081_7994774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__7994775_7995173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__9772823_9772938",2.182,0,0.93507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02816,0,0,0,0,0,0
"L1HS_intron_4__14684283_14684649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__14755115_14761144",0,0,0,0.00115748,0,0,0.613404,0,0,0,0,0,0,0.386369,0.00216362,0.00481032,0,0,0,0,0.00308078,0,0.209609,0,0,0.00236329,0.00325844,0,0,0,0,0,0.137122,0.730244,0,0,0,0,0,0
"L1HS_intron_4__15841547_15847572",0,0,0,0,0,0,0,0,0.00344627,0,0.0290934,0,0,0,0,0,0,0.00527438,0,0,0,0,0.0164346,0,0,0,0,0,0,0,0,0,0,0.00268374,0,0.00266743,0,0,0,0
"L1HS_intergenic_4__16942777_16944630",0,0.0249325,0,0,0,0.000253432,0.0296221,0,0,0,0,0.00733197,0,0,0.00851832,0,0,0,0,0,0.023403,0,0,0,0,0,0,0,0.010982,0,0,0,0,0.0139666,0,0,0,0.0135426,0.0155404,0
"L1HS_intergenic_4__16944927_16949113",0,0.0170248,0,0,0,0,0,0,0,0,0,0.00640811,0,0.0115963,0,0,0,0,0,0,0.00490667,0,0,0,0.0124213,0,0.00478068,0,0,0,0,0.00736246,0,0,0,0.00452593,0,0,0,0
"L1HS_intergenic_4__19077912_19083929",0,0,0,0.00833047,0,0.00268066,0.00259057,0,0,0,0,0,0,0,0,0,0.0113764,0,0.00303773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0414145,0,0.00528924,0,0.00362593,0,0
"L1HS_intergenic_4__19168540_19169288",0,0,0,0,0,0,0.0153089,0,0,0,0,0.0151542,0,0.0354239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__21159391_21165421",0,0,0,0,0,0,0,0,0,0,0,0.00225252,0,6.75251e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00346732,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__23614772_23620793",0,0,0.126682,0,0,0.00510002,0.0060309,0,0,0.00617175,0,0,0,0.0103633,0,0,0,0,0.22383,0,0.00321768,0,0,0.0081276,0.0105652,0,0,0,0.078058,0,0,0.0763448,0.00420189,0,0,0,0,0.00365342,0,0
"L1HS_intergenic_4__24185735_24185827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__24185828_24185911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__26922945_26927693",0,0,0,0.0983508,0,0,0,0,0,0.00545401,0,0,0,0,0,0,0,0,0,0,0,0,0.00686183,0,0,0,0.00267493,0,0,0,0,0,0,0.0803522,0,0,0,0,0,0
"L1HS_intergenic_4__28196715_28196853",0,0,0,0,0,0,0,0,0,0,0,0,0,1.0604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24834,0,0
"L1HS_intergenic_4__29531613_29532351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__35321651_35323919",0,0,0,0,0,0.0128846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100773,0,0
"L1HS_intron_4__36109719_36109882",0,0,0,0,0,0,0.666014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510121,0,0,0,0
"L1HS_intergenic_4__43601483_43601616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__43817656_43819131",0.0101964,0,0,0,0,0,0.00774947,0,0,0,0,0,0.00844383,0.0152387,0,0,0,0,0,0,0.0230293,0,0,0,0,0,0.0153647,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__44505296_44505713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__46053987_46054994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__46054989_46056117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__46794992_46796316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__46796311_46797122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__46880729_46881006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__47259887_47260715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493551,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__48051955_48057974",0,0.160592,0.00280654,0.00146386,0,0.00318564,0.00443778,0,0,0,0,0,0,0.0107008,0.0298624,0,0.00604467,0,0,0,0,0,0,0,0,0,0.17508,0.00297199,0,0,0,0,0,0.210395,0,0,0,0.227172,0,0
"L1HS_intron_4__48414558_48416648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__48416645_48417873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200039,0,0,0.022808,0,0,0,0,0,0,0.0180476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__48734680_48734846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__48734845_48735984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__49055915_49056255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__52538472_52544498",0.00570107,0,0.110959,0.00509982,0.00297673,0,0.00143479,0,0,0.00473095,0,0.0022364,0,0.00907341,0,0,0.00554938,0,0,0,0.0104029,0,0.00263094,0,0.00709077,0.00820806,0.00324464,0,0,0,0,0,0,0.0156344,0,0.0054827,0,0.0149386,0,0
"L1HS_intergenic_4__52816457_52822486",0.0024431,0,0,0.00278032,0,0,0.00500356,0,0.00345488,0,0,0.00760964,0,0.0067048,0.0310064,0,0.0115768,0.0071485,0.00939979,0,0.0202862,0.00584329,0,0,0,0.00695137,0.0185894,0,0,0,0,0,0,0,0,0.0166829,0,0.00730568,0,0
"L1HS_intergenic_4__57221182_57221568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__57562317_57568347",0,0,0.067296,0,0,0.00769167,0.0015044,0,0,0,0,0.0022323,0,0,0,0,0,0,0,0,0,0,0,0,0.229845,0,0,0,0.0970694,0.0141793,0,0,0,0,0,0.00308385,0,0,0,0
"L1HS_intergenic_4__57768854_57771417",0,0,0,0,0,0.0125759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062911,0,0,0,0,0,0
"L1HS_intergenic_4__58021105_58022135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__58026295_58028330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138326,0,0,0,0,0,0.00854921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__58576286_58577824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113782,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__58577823_58578224",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__58778657_58779129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__59078848_59084877",0,0,0,0,0,0,0.00187556,0.00416302,0,0.162762,0,0.00234763,0,0,0,0.00491177,0,0.00553927,0,0,0,0,0,0,0,0.100257,0,0.00714276,0,0,0,0,0,0,0,0,0,0.00399217,0,0
"L1HS_intergenic_4__59720411_59721053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__59721054_59721436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__60104667_60105666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__60105667_60106210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__61939928_61945962",0,0,0,0,0,0,0.00148565,0,0,0,0,0.0287277,0,0,0,0.153004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__62726949_62732969",0,0.0119879,0.131434,0.00236496,0,0,0.260185,0,0,0.0688805,0,0.0427507,0,0.0155642,0,0,0.29444,0,0,0,0,0,0,0,0,0.326235,0.00651562,0.011112,0,0,0,0,0,0,0,0.302409,0,0,0,0
"L1HS_intergenic_4__64840276_64842785",0,0.0146138,0,0.00925716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00654939,0,0,0,0.00274485,0,0,0,0,0,0,0,0,0.00644338,0,0.00556131,0,0,0,0
"L1HS_intergenic_4__65775393_65775647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211744,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__69664010_69667565",0,0,0,0.0178697,0.0102794,0,0,0,0,0.0191297,0,0.0115368,0,0.0114772,0,0,0.0211208,0,0,0,0,0,0,0,0,0.011498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__70015397_70019676",0,0.0164926,0,0.00156241,0,0,0.0089688,0,0,0.0137279,0,0.0213979,0,0.00486893,0,0,0,0.0253635,0,0,0,0,0,0,0,0,0.0386477,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__70328907_70334307",0,0,0,0,0,0,0,0,0,0,0,0,0.0363418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130074,0,0,0,0,0
"L1HS_intergenic_4__74717540_74723587",0,0,0.00161396,0,0,0,0,0,0,0,0,0,0,0.00924521,0,0,0,0,0,0,0,0,0,0,0,0,0.211661,0.0053625,0,0,0,0,0,0.51889,0,0,0,0,0,0
"L1HS_intergenic_4__77315136_77315383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__78105736_78111765",0,0,0.0544954,0,0,0,0.716077,0,0,0,0,0,0,0,0,0.00790153,0,0.00114316,0,0,0,0,0,0,0,0,0,0,0,0.00123666,0,0.0292889,0.137984,0.27226,0,0,0,0,0,0
"L1HS_intron_4__78347981_78354013",0,0,0,0,0,0,0.871241,0,0,0.938415,0,0.784833,0,0,0,0,0,0,0.186385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__79704553_79710581",0,0,0.00282179,0.00259175,0,0.0660601,0,0,0.00351442,0.197591,0,0,0.0676376,0,0,0.00481475,0,0.00752019,0.32926,0,0.00355333,0,0,0,0,0,0,0.227336,0,0.444652,0,0,0,0.208174,0,0,0,0.00134635,0,0
"L1HS_intron_4__79937716_79943746",0,0,0,0,0,0,1.20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429294,0,0,0,0,0,0,0,0.20786,0,0,0,0,0,0,0
"L1HS_intron_4__79966908_79972933",0,0,0,0,0,0,0,0,0.00358175,0.0058545,0,0.00275995,0,0,0,0,0,0.804638,0,0,0.00357849,0,0,0,0,0,0.0135104,0.00546021,0.00657517,0,0,0,0,0,0.0211152,0,0.161803,0,4.26901e-05,0
"L1HS_intron_4__80890481_80891357",0,0,0,0,0,0,0.0029164,0,0,0,0,0.0129622,0,0.0111457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__80891358_80891805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750953,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__81019476_81019860",0,0,0,0,0,0,0.0528531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__82008161_82010240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487493,0,0,0,0
"L1HS_intron_4__84073443_84073473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__85397117_85397310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__85397311_85397519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__85891218_85893779",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435615,0,0,0,0,0.00875981,0,0,0,0,0,0,0,0,0.0181118,0,0,0,0,0,0,0,0
"L1HS_intron_4__85893781_85894112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__86628504_86629020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__86629021_86629506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__87347104_87353146",0,0,0,0.00465862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578209,0,0,0,0,0,0,0,0,0.883716,0,0,0,0
"L1HS_intergenic_4__87562746_87562955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__87562946_87565162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__88161171_88162042",0,0,0,0,0,0,0,0,0.0247405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__90675740_90681757",0,0,0,6.20388e-10,0,0,0,0,0,0,0,0.14996,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93448e-07,0,0,0.00183722,0,0,0,0,0,0,0,0,0,0.119243,0
"L1HS_intron_4__91437492_91443691",0,0.0100011,0.000394492,0,0,0,1.56839,0,0,0.00800125,0,0.0127174,0,0.00875558,0.00462877,0.00151498,0,0,0,0,0,0,0,0.0017387,0,0,0,0.086212,0,0.00160293,0.0741167,0.00394308,0,0,0,0,0,0.0495862,0,0
"L1HS_intergenic_4__91978212_91984413",0,0,0,0,0,0.0198493,0.00286567,0,0,0,0,0.0021531,0,0,0.00456999,0,0,0,0,0,0.0109479,0.114874,0,0.00271621,0,0,0.0956878,0.00531767,0,0,0,0,0,0,0,0.00962495,0,0,0,0
"L1HS_intron_4__93123956_93124119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__93608284_93614338",0,0,0.00709763,0,0,0,0.00201671,0,0,0.00650415,0,0.00339558,0,0,0,0,0.245537,0,0,0,0,0,0,0,0.353762,0.0077898,0,0.00263836,0,0,0,0,0,0,0,0,0,0.00104291,0,0
"L1HS_intron_4__93638308_93644337",0,0,0,0,0,0,0,0,0,0.0132879,0,0,0,0,0,0.00427709,0,1.85531,0,0,0.00145945,0.00343219,0,0,0,0,0,0.010681,0,0,0,0,2.07941e-08,0,0,0.00162871,0,0,0,0
"L1HS_intron_4__95328041_95328797",0,0,0.0285988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__98592436_98598463",0,0,0,0.0429427,0,0,0.032846,0,0.0741158,0.0652913,6.80605e-05,0.172021,0,0.0852957,0.00632569,0.00793713,0.0794824,0.0214776,0,0,0.0340385,0.0207312,0,0,0,0.00381059,0.487052,0,0,0.00134037,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__99425025_99427074",0,0.14239,0,0,0.00486792,0,0,0,0,0,0,0,0,0.0105062,0,0,0,0,0,0,0,0,0.00790121,0,0,0,0,0,0,0.0243138,0,0.0393613,0,0,0,0,0,0,0,0
"L1HS_intron_4__101866629_101867173",0.0790825,0,0,0,0,0.0392199,0,0,0,0,0,0,0,0,0,0,0.0865428,0.0587018,0,0,0.0198237,0,0,0,0,0,0,0.0180986,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__102951968_102954450",0.0107877,0.0122464,0.0214699,0.0147861,0,0,0,0.0446683,0,0.00770474,0,0.0105301,0.00883983,0.0225262,0.00462407,0.000996129,0,0.011178,0.00317485,0,0.0161052,0.00650791,0,0.0119455,0.025389,0.0264408,0,0.0156911,0.00796026,0,0,0.021859,0,0.0754032,0.0311846,0.00706754,0,0.0130201,0,0
"L1HS_intron_4__104803117_104803890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214302,0,0,0,0
"L1HS_intron_4__104803888_104804858",0,0,0,0,0,0,0,0,0,0,0,0.0126657,0,0,0,0,0,0,0,0,0.0366345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__106571058_106577070",0,0,0,0.00131461,0,0,0.00304271,0,0,0.0106588,0,0.00638543,0,0,0,0.000852029,0.208341,0,0,0,0,0,0,0,0,0,0,0,0,0.00395555,0,0,0.00457474,0,0,0,0,0.105287,0,0
"L1HS_intron_4__107206673_107210557",0,0,0,0,0,0,0,0,0,0,0,0,0,0.627515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199973,0,0,0,0,0,0
"L1HS_intergenic_4__107355537_107356629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intergenic_4__110690113_110693684",0,0,0,0.00217819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879197,0,0,0.00461,0,0,0,0,0,0.00449318,0,0,0,0,0,0
"L1HS_intergenic_4__111489641_111489977",0,0,0,0,0,0.0857484,0,0,0,0,0,0.0739252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424009,0,0,0,0,0,0
"L1HS_intron_4__111894802_111900831",0,0,0,0.844254,0,0,0,0,0,0.00173522,0,0,0,0.162798,0,0.0047127,0.00697779,0.23911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182969,0,0,0,0,0,0
"L1HS_intron_4__116203854_116205443",0.0301223,0,0,0,0,0,0.0189902,0,0.0139529,0.0197404,0.00931401,0.029514,0.0106339,0.0974178,0,0,0,0.0387517,0.0324074,0.0284209,0.106835,0,0,0,0,0.0417257,0.0145119,0.0166447,0.028423,0,0,0,0,0.0157537,0,0.00899648,0,0.0230439,0,0
"L1HS_intron_4__116205442_116206349",0,0,0,0,0,0,0.00842256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223053,0,0,0,0.0402648,0,0,0,0
"L1HS_intron_4__117659091_117660578",0,0,0,0,0,0,0,0,0,0,0,0.00359471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1HS_intron_4__119948727_119954758",0,0,0,0,0,0.0239002,0.0030091,0,0.00346437,0,0,0,0,0,0,0.239329,0,0,0.12999,0,0,0.25568,0,0,0,0.0810218,0,0,0,0,0,0,0,0.12621,0,0,0,0,0,0
"L1HS_intron_4__120165939_120166011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
